model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,txt_accuracy,txt_auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,prompt_eval_count_mean,prompt_eval_count_median,prompt_eval_count_sd,eval_count_mean,eval_count_median,eval_count_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,model_dir,model_params,model_quantization,total_duration_sec_missing_count,load_duration_sec_missing_count,prompt_eval_duration_sec_missing_count,eval_duration_sec_missing_count,python_api_duration_sec_missing_count,confidence_txt_missing_count,prompt_eval_count_missing_count,eval_count_missing_count
mistral-small:22b-instruct-2409-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.7458548164367675,0.5744987726211548,1.4941452924104754,55.0,0.5264285714285714,55.0,0.5264,,,,,,,,,,,,,,,,,,,23,32,38,7,0.3770491803278688,0.7666666666666667,0.5054945054945054,mistral-small_22b-instruct-2409-q4_k_m,22,q4_k_m,1,1,1,1,1,1,1,1
mistral-small:22b-instruct-2409-q4_K_M,PromptType.COT,100,100,0,0,8.855044424533844,8.824005603790283,0.8667457248024248,41.0,0.5578666666666667,41.0,0.5579,,,,,,,,,,,,,,,,,,,20,21,54,5,0.2702702702702703,0.8,0.404040404040404,mistral-small_22b-instruct-2409-q4_k_m,22,q4_k_m,1,1,1,1,1,1,1,1
mistral-small:22b-instruct-2409-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,9.807278397083282,9.724837899208069,1.3077239344831948,56.0,0.597666159309995,56.0,0.5977,,,,,,,,,,,,,,,,,,,19,37,36,8,0.34545454545454546,0.7037037037037037,0.4634146341463415,mistral-small_22b-instruct-2409-q4_k_m,22,q4_k_m,1,1,1,1,1,1,1,1
mistral:7b-instruct-fp16,PromptType.COT,100,100,0,0,6.759089703559876,6.558692455291748,2.850856581059991,54.0,0.48245614035087725,54.0,0.4825,,,,,,,,,,,,,,,,,,,8,46,30,16,0.21052631578947367,0.3333333333333333,0.2580645161290323,mistral_7b-instruct-fp16,7,fp16,1,1,1,1,1,1,1,1
mistral:7b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,5.182020702362061,5.151007890701294,1.8988229652672735,61.0,0.4226190476190476,61.0,0.4226,,,,,,,,,,,,,,,,,,,11,50,22,17,0.3333333333333333,0.39285714285714285,0.360655737704918,mistral_7b-instruct-fp16,7,fp16,1,1,1,1,1,1,1,1
mistral:7b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.5740421509742737,0.4275686740875244,1.379175900114278,58.0,0.48561507936507936,58.0,0.4856,,,,,,,,,,,,,,,,,,,7,51,21,21,0.25,0.25,0.25,mistral_7b-instruct-fp16,7,fp16,1,1,1,1,1,1,1,1
mixtral:8x7b-instruct-v0.1-q4_K_M,PromptType.COT,100,100,0,0,5.440503940582276,5.50066876411438,1.05283182472124,41.0,0.5440024110910187,41.0,0.544,,,,,,,,,,,,,,,,,,,16,25,54,5,0.22857142857142856,0.7619047619047619,0.3516483516483517,mixtral_8x7b-instruct-v0_1-q4_k_m,7,q4_k_m,1,1,1,1,1,1,1,1
mixtral:8x7b-instruct-v0.1-q4_K_M,PromptType.SYSTEM1,100,100,0,0,2.612243535518646,2.130803108215332,3.03753375758843,71.0,0.49642625081221575,71.0,0.4964,,,,,,,,,,,,,,,,,,,8,63,18,11,0.3076923076923077,0.42105263157894735,0.35555555555555557,mixtral_8x7b-instruct-v0_1-q4_k_m,7,q4_k_m,1,1,1,1,1,1,1,1
mixtral:8x7b-instruct-v0.1-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,5.719617249965668,5.587674140930176,1.0976786173524236,50.0,0.5699013157894737,50.0,0.5699,,,,,,,,,,,,,,,,,,,17,33,43,7,0.2833333333333333,0.7083333333333334,0.40476190476190477,mixtral_8x7b-instruct-v0_1-q4_k_m,7,q4_k_m,1,1,1,1,1,1,1,1
nemotron-mini:4b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.37725810050964353,0.2876625061035156,0.9088970914440602,65.0,0.4412336085478388,65.0,0.4412,,,,,,,,,,,,,,,,,,,9,56,15,20,0.375,0.3103448275862069,0.339622641509434,nemotron-mini_4b-instruct-fp16,4,fp16,1,1,1,1,1,1,1,1
