,sex,birthyear,height_ft,height_in,experience02,hhsize97,homelessness,faminjail,foodstamp,marijuana,cocaine,anydrug,numberofarrestsby2002,arrestedafter2002,convictedby2002,num_weight,birthmonth,race_ethnicity,race_specific,weight,married02,educ02,college02,parentrelations,urbanrural,victim,askgod,godhasnothingtodo,expectdeath,depression,race
96,1,1981,5,3,1,6,0,0,0,1,0,1,9,0,1,137.0,11,1,3,11,5,0,8,12,4,0,3,3,1,3,3
97,1,1983,6,3,0,3,0,0,0,0,0,0,1,0,0,223.0,2,3,5,80,5,4,7,9,4,0,2,2,1,2,5
98,1,1981,5,5,0,3,0,0,0,1,0,1,4,0,1,207.0,1,0,2,74,5,0,8,7,4,0,2,3,1,2,2
99,0,1983,5,5,3,4,0,0,0,1,0,1,1,1,0,118.0,0,1,5,7,5,4,0,9,4,1,3,3,1,3,3
100,0,1983,5,6,1,4,0,1,0,1,1,1,2,0,1,137.0,2,3,5,11,3,0,8,7,2,0,3,2,1,1,5
101,0,1982,5,5,3,4,0,0,0,0,0,0,4,0,1,158.0,2,3,5,38,3,3,6,2,1,0,3,2,1,3,5
102,1,1983,5,10,3,4,0,0,0,1,1,1,1,1,1,135.0,7,3,5,17,5,3,6,9,2,0,2,2,1,2,5
103,0,1981,5,0,2,4,0,0,0,1,0,1,1,0,0,115.0,1,3,1,5,5,4,0,9,0,0,3,2,1,3,1
104,0,1980,5,7,2,6,0,1,0,1,1,1,1,0,1,135.0,7,1,5,17,5,4,7,8,0,0,3,2,3,3,3
105,1,1980,6,0,2,9,0,0,0,0,0,0,4,0,1,165.0,7,1,5,45,5,4,7,7,4,0,3,2,8,2,3
106,0,1981,5,2,3,7,0,0,0,0,0,0,1,0,0,210.0,0,3,5,75,5,4,7,9,0,0,2,3,1,3,5
107,1,1982,5,9,3,4,0,0,0,0,0,0,1,0,1,187.0,9,3,5,55,5,4,9,9,4,1,2,3,1,3,5
108,0,1984,5,3,2,3,0,1,0,1,1,1,4,0,0,162.0,3,3,5,31,3,0,8,5,0,0,2,3,1,1,5
109,1,1983,5,7,2,6,0,0,1,0,0,0,1,0,0,162.0,9,1,5,31,3,0,6,7,4,1,3,2,1,3,3
110,1,1980,6,0,0,6,0,0,0,1,0,1,1,0,1,212.0,1,3,5,76,5,4,1,9,4,0,3,2,,2,5
111,1,1981,6,1,0,3,0,0,0,1,1,1,1,0,0,205.0,0,0,2,73,5,4,9,7,4,0,2,3,1,2,2
112,1,1984,6,3,2,3,0,1,0,1,1,1,2,1,1,270.0,3,0,2,92,5,4,0,12,2,0,3,2,1,1,2
113,1,1980,6,0,1,7,0,1,0,1,1,1,2,0,1,165.0,2,0,2,45,5,4,7,2,1,0,3,2,3,0,2
