sex_recorded_in_1997,marriage_or_cohabitation_status_in_2002,jobs_held_in_2002,household_size_in_1997,parent_or_guardian_relationship_at_age_12,homeless_for_2+_nights_over_last_5_years,used_cocaine_or_other_hard_drug_in_last_4_years,number_of_arrests_in_last_5_years,weight_in_lbs,height_total_inches,target
female,"never married, not cohabiting",1,5,both biological parents,False,True,1,127.0,65,0
female,"married, spouse present",1,4,"biological mother, marital status unknown",False,True,2,156.0,66,1
male,"never married, not cohabiting",4,3,both biological parents,False,True,3,165.0,72,1
male,"never married, not cohabiting",0,2,"biological mother, marital status unknown",False,True,1,153.0,71,0
male,"never married, not cohabiting",3,5,"other adults, biological parent status unknown, not group quarters",False,False,1,193.0,68,1
male,"never married, not cohabiting",2,4,both biological parents,False,True,4,210.0,73,0
male,"never married, not cohabiting",2,3,Unknown,False,True,5,212.0,67,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,1,135.0,67,0
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,True,2,162.0,66,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,2,160.0,70,0
male,"never married, not cohabiting",1,5,"biological dad, marital status unknown",False,True,2,145.0,66,0
male,"never married, not cohabiting",4,5,"biological mother, marital status unknown",False,True,1,215.0,74,0
female,"never married, not cohabiting",4,3,both biological parents,False,True,1,145.0,62,0
male,"never married, not cohabiting",3,3,Unknown,False,True,1,210.0,70,0
male,"never married, not cohabiting",1,5,both biological parents,False,False,1,158.0,69,0
male,"never married, not cohabiting",3,6,"biological dad, marital status unknown",False,False,1,160.0,68,0
male,"never married, not cohabiting",2,6,"biological dad, marital status unknown",False,False,1,182.0,66,0
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,False,3,165.0,72,1
male,"never married, cohabiting",3,5,both biological parents,True,True,4,170.0,73,1
male,"never married, not cohabiting",3,4,"other adults, biological parent status unknown, not group quarters",False,True,2,160.0,76,0
male,"never married, not cohabiting",3,10,both biological parents,False,False,1,162.0,67,0
female,"never married, cohabiting",4,10,both biological parents,False,False,1,140.0,60,0
female,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,False,1,115.0,64,1
female,"never married, cohabiting",2,5,both biological parents,False,False,2,130.0,59,0
female,"never married, cohabiting",1,5,both biological parents,False,False,1,137.0,61,0
female,"separated, not cohabiting",2,3,"biological mother, marital status unknown",False,True,1,162.0,66,1
female,"never married, not cohabiting",0,3,"biological mother, marital status unknown",False,False,1,115.0,66,1
